symbol_clean,classification,trades,unique_accounts,unique_symbols,total_pnl,avg_pnl,median_pnl,win_rate,total_volume_usd,avg_size_usd,avg_leverage,total_fee
ADA,Greed,251,3,1,1398.426398,5.571419912350598,0.0,34.66135458167331,138521.62,551.8789641434263,,40.765304
MANTA,Extreme Greed,10,1,1,1392.3068899999998,139.23068899999998,29.698795,80.0,72308.6,7230.860000000001,,-0.23166299999999995
SOL,Neutral,129,3,1,1355.263422,10.505918,0.0,41.86046511627907,232665.63,1803.609534883721,,79.897178
COMP,Fear,9,1,1,1334.414834,148.26831488888888,0.0,44.44444444444444,10737.4,1193.0444444444445,,3.455933
BADGER,Extreme Greed,19,1,1,1297.018477,68.26413036842105,35.104212,78.94736842105263,92592.20999999999,4873.274210526315,,8.888837
GRASS,Fear,143,4,1,1276.792756,8.928620671328671,0.621,55.24475524475524,76075.77,531.9983916083917,,18.390721
APE,Fear,150,1,1,1273.541492,8.490276613333334,0.0,30.0,67029.52,446.8634666666667,,23.460281
KAITO,Fear,249,6,1,1231.689389,4.946543730923694,0.0,41.76706827309237,704731.78,2830.2481124497995,,192.895322
AAVE,Fear,195,4,1,1205.045279,6.179719379487179,0.0,27.692307692307693,145605.01,746.692358974359,,37.533549
BNB,Fear,112,5,1,1183.1256,10.563621428571428,0.0,39.285714285714285,171738.99,1533.3838392857142,,55.879633
CHILLGUY,Fear,68,2,1,1135.490216,16.698385529411762,3.7538599999999995,61.76470588235294,64844.700000000004,953.5985294117647,,12.631472
KBONK,Fear,76,2,1,1133.6943549999999,14.917030986842104,0.0,43.42105263157895,125113.03,1646.2240789473683,,21.655601
PYTH,Greed,55,1,1,1118.5681419999999,20.337602581818178,0.0,29.09090909090909,296149.44,5384.535272727273,,74.037324
PENDLE,Extreme Greed,33,1,1,1101.6328,33.382812121212126,19.5489,87.87878787878788,79335.92,2404.1187878787878,,2.065981
XAI,Extreme Greed,8,1,1,1074.213807,134.276725875,9.804045,75.0,64998.32,8124.79,,-0.21026599999999984
KPEPE,Fear,214,6,1,1032.421808,4.824400971962617,0.0,36.44859813084112,143981.24,672.8095327102803,,41.857345
JUP,Neutral,87,1,1,1030.245916,11.841907080459771,3.103282,56.32183908045977,81408.59,935.7309195402298,,28.492989
YGG,Fear,26,2,1,1006.36071,38.70618115384615,3.80895,65.38461538461539,49242.950000000004,1893.9596153846155,,6.10527
VIRTUAL,Greed,13,1,1,1005.93385,77.37952692307692,10.74554,84.61538461538461,61451.520000000004,4727.04,,6.857747
LINK,Fear,194,4,1,984.83618,5.0764751546391755,0.0,41.23711340206185,104788.43,540.1465463917525,,30.069563
TNSR,Neutral,281,1,1,952.232564,3.3887279857651245,0.0,44.48398576512456,140467.61000000002,499.8847330960855,,36.413433
BRETT,Greed,129,2,1,934.203695,7.241889108527132,6.306,61.240310077519375,141451.25,1096.5213178294573,,28.352036
MATIC,Extreme Greed,10,1,1,915.560676,91.55606759999999,11.039875,60.0,40927.98,4092.7980000000002,,9.991524
ILV,Extreme Greed,40,1,1,899.009143,22.475228575,0.0,27.500000000000004,116417.52,2910.438,,-0.287673
SOL,Extreme Greed,40,1,1,719.674543,17.991863575,0.0,30.0,510797.23,12769.93075,,93.21599499999999
TRX,Greed,80,1,1,670.1615039999999,8.377018799999998,0.0,13.750000000000002,73744.58,921.8072500000001,,19.918613999999998
SUI,Extreme Greed,4,1,1,667.48026,166.870065,45.585930000000005,75.0,18447.06,4611.765,,-0.368938
GMX,Fear,27,3,1,637.578396,23.614014666666666,0.0,48.148148148148145,17811.62,659.6896296296296,,5.276039
POLYX,Extreme Greed,14,1,1,618.133683,44.15240592857143,16.09632,92.85714285714286,32669.5,2333.535714285714,,3.13626
BLAST,Greed,51,1,1,616.090138,12.080198784313726,0.0,35.294117647058826,20852.5,408.87254901960785,,6.646404
PROMPT,Fear,27,1,1,599.92581,22.219474444444444,15.0241,96.29629629629629,42600.52,1577.797037037037,,6.582375
